Name,Title,Rating,Content,predictions,sentiment
Chirag Bhatt,Overall good average phone,3.0,I hate this product,0,Negative
Siva M,Premium with beasty spec,3.0,"Top-notch and latest hardware specs including perfectly flat display, processor & memory capacity. Battery charging is extremely fast when used with the supplied 120W charger: single digit to 100% in about 30 minutes (phone gets warm at times while charging, but it does not affect the performance). If any standard chargers are used, it will take more time to full charge.Phone design is not out of the ordinary, but some people may like it subjectively. The camera module is just too big for the size of the phone! Sound from the built-in speakers is only normal, do not expect any Atmos or surround-like sound quality. For surround/Atmos, you better use compatible Bluetooth or USB type C wired headsets.The OS is bloated and needs to remove bloatware: it comes with tons of iQOO and Google bloatware. While most Google apps can be uninstalled or disabled, OEM bloatware are terrible. I went by other review comments claiming less bloatware but I was disappointed with the bloatware the device comes with. I used ADB commands to uninstall most of them to get a stock OS like experience, but I couldn't remove or disable five 😞The device comes with a transparent flexible silicone back cover but it does not have a raised lip around the camera module, so, you may scratch the camera glass if you place the device on rough surfaces, so be careful or better get a back cover with raised lip or apply a protector to the camera module. The supplied back cover turns yellow over time, of course.Screen also has a pre-applied screen protector, but it may not be sufficient if you keep keys and the device together. Applied a tempered glass on top of that screen protector for more protection and with that extra layer, display touch and fingerprint reader work just fine (the pre-applied screen protector can be removed too before tempered glass, but I just left it). Since it has a flat display, you have plenty of tempered glass options.Knocked one star off for camera quality because night photography is not impressive for me.Battery gets warmer and drains battery fast when 5G data usage is high esp. with Wi-Fi tethering enabled and connected devices consume lot of data (I think scenarios like this are when the supplied 120W charger is high help).Overall, two stars less because of the bloatware, subpar back cover and average night photography. YMMV.",1,Positive
Damage product,Poor connectivity,3.0,"Giving this review after 4 months of use, poor wifi connectivity wifi is working very slow in this device but same wifi working very fast in other phones.",1,Positive
JUNED GHANCHI,"Camera, performance, built quality, battery",3.0,The result of camera is very good but if you are looking this phone for 100x then this phone is not right choise.because after 10x the result of this phone is blur. So if you are looking 100x zoom phone than this is not for you.if i talk about the system and built quality then system is same as other phone no changes have in this phone. Performance is good. But 5G speed is not better because I saw that when I get poor network then other 5g phone has getting better network. In the 4g level the network is not working. I think this is not value for money. This phone is only for best camera and best performance and gaming nothing else in this phone battery can run only 5 or 6 hours continuously without gaming. Company should increase the battery mAh. Company should give the gorilla glass protection and waterproof protection because if you are buying this phone it must be waterproof because as a value of the phone.,1,Positive
arif,Average,3.0,"The product performs well, however, it does generate a significant amount of heat, occasionally necessitating its placement in a freezer.",1,Positive
Pubgmobile,Wonderful Device,3.0,The package has arrived correctly on time and didn't disappointed me. Haven't throughly used it but still it's gave me a really good experience. I've been playing BGMI on it for the past 2hrs charge dropped to 88% and that's all. Currently I'm giving 3 star cause I wanted to use this device properly and after some times I will rewrite the review accordingly. I hope this helps those who seeks about this device.,1,Positive
suraj mahato,heating problem,3.0,charging time overheating mobile or charger both,1,Positive
Hamster male,Positive negative  no fanboy . Honest,3.0,"Some problems1- display going black for 2 seconds while playing game ..... Important  service centre aunties and uncles working are pathetic poor serviceWent for display problem2- bugs in osNotification bar can't pull down while bluetooth call3- heating when no AC no fan4- no premium features5- super moon is waste bugs in itTook white bulb as moonInstead of editing fake moon download moon from browser!!!!!!!!!No real time pictures6- no fps meter no 144 fps interpolation in genshin impact as they saidPros1- performance2- battery optimisationBattery backup3-camera rear4- no heat while playing game in fan or AC5- free back cover , screen paper",0,Negative
MANURAJ,"Dont go by words, pls read this before buying.",3.0,"I bought this mobile thinking of giving a try to a flagship. So exchanged my IQOO Z3, since I was using Z3 I liked IQOO's performance and camera with a value for money perception. So here is the basic review1. The performance is good !! but its an obvious for 8gen 32. Camera: Its all with great features and good pics but really disappointed for front camera atleast 32MP should be given.3.Battery: 1 day for medium use, less than 1 day for heavy usage4.VC Cooling: Dont know if its working properly for my device, just playing for 15 mins nd phone starts heating up, even my Z3 was not like that. (Attaching the image: here around 10 apps were opened but none were working on screen and phone was kept aside, when i pick it felt hot and then checked this)Biggest Concern: Amazon's trust.1. No replacement: I saw that there is no replacement present in the order window, only return which is also after deducting the launch offer(i.e. 5k)!! Wow2. There's an executive will be present to test weather return or replacement should be done or not, which means either the time runs out for your return window if the person will not come or its the mood of that person on which your hard earned money value is swinging.3. Doesnt allow to post Questions and reviews till 7-8 days, why are they afraid of the product quality?I already decreased my shopping from Amazon and this is another good reason they have provided.",1,Positive
Zeeshan Baig,Nice,3.0,Nice mobile,1,Positive
